Código falta,Descripción falta,Tipo formato,Nivel de gravedad,Año infracción,Año pago,Mes pago,Cant. multas con pagos,Monto emitido,Descuento,Importe pagado,Reincidencia pagada,Monto total pagado
A01,"Cruzar la calzada sin respetar las normas de tránsito o hacerlo de manera intempestiva o temerariamente encontrándose en estado de ebriedad superior a 0,50 grs/lt o bajo los efectos de estupefacientes, narcóticos y/o alucinógenos, comprobado con el examen respectivo o por negarse al mismo.",Papeleta inf. y educativa peatonal-cicli./cond.VMP,M,2026,2026,2,1,165.0,136.95,28.05,0.0,28.05
A02,"Cruzar de manera intempestiva o temerariamente la calzada, sin respetar las normas tránsito.",Papeleta Peatonal,M,2010,2026,2,3,330.0,73.7,256.3,0.0,256.3
A02,"Cruzar de manera intempestiva o temerariamente la calzada, sin respetar las normas tránsito.",Papeleta Peatonal,M,2010,2026,3,3,330.0,147.4,182.60000000000002,0.0,182.60000000000002
A02,"Cruzar de manera intempestiva o temerariamente la calzada, sin respetar las normas tránsito.",Papeleta Peatonal,M,2011,2026,2,2,220.0,147.4,72.6,0.0,72.6
A02,"Cruzar de manera intempestiva o temerariamente la calzada, sin respetar las normas tránsito.",Papeleta Peatonal,M,2012,2026,1,1,110.0,73.7,36.3,0.0,36.3
A02,"Cruzar de manera intempestiva o temerariamente la calzada, sin respetar las normas tránsito.",Papeleta Peatonal,M,2012,2026,2,1,110.0,73.7,36.3,0.0,36.3
A02,"Cruzar de manera intempestiva o temerariamente la calzada, sin respetar las normas tránsito.",Papeleta Peatonal,M,2012,2026,3,1,110.0,73.7,36.3,0.0,36.3
A02,"Cruzar de manera intempestiva o temerariamente la calzada, sin respetar las normas tránsito.",Papeleta Peatonal,M,2014,2026,2,1,110.0,73.7,36.3,0.0,36.3
A02,"No hacer señales, ni tomar las precauciones para girar, voltear en U, pasar de un carril de la calzada a otro o detener el vehículo.",Papeleta de Tránsito,G,2004,2026,1,1,109.0,0.0,109.0,0.0,109.0
A02,"No hacer señales, ni tomar las precauciones para girar, voltear en U, pasar de un carril de la calzada a otro o detener el vehículo.",Papeleta de Tránsito,G,2005,2026,1,1,110.0,0.0,110.0,0.0,110.0
A02,"No hacer señales, ni tomar las precauciones para girar, voltear en U, pasar de un carril de la calzada a otro o detener el vehículo.",Papeleta de Tránsito,G,2006,2026,1,1,110.0,0.0,110.0,0.0,110.0
A02,"No hacer señales, ni tomar las precauciones para girar, voltear en U, pasar de un carril de la calzada a otro o detener el vehículo.",Papeleta de Tránsito,G,2006,2026,2,3,330.0,0.0,330.0,0.0,330.0
A02,"No hacer señales, ni tomar las precauciones para girar, voltear en U, pasar de un carril de la calzada a otro o detener el vehículo.",Papeleta de Tránsito,G,2006,2026,3,1,110.0,0.0,110.0,0.0,110.0
A03,"Cruzar la calzada sin utilizar los puentes peatonales o cruces subterráneos, en vías de trásito rápido y/o de acceso restringido.",Papeleta Peatonal,M,2011,2026,1,2,220.0,147.4,72.6,0.0,72.6
A03,"Cruzar la calzada sin utilizar los puentes peatonales o cruces subterráneos, en vías de trásito rápido y/o de acceso restringido.",Papeleta Peatonal,M,2011,2026,2,1,110.0,73.7,36.3,0.0,36.3
A03,"Cruzar la calzada sin utilizar los puentes peatonales o cruces subterráneos, en vías de trásito rápido y/o de acceso restringido.",Papeleta Peatonal,M,2011,2026,3,1,110.0,73.7,36.3,0.0,36.3
A03,"Cruzar la calzada sin utilizar los puentes peatonales o cruces subterráneos, en vías de trásito rápido y/o de acceso restringido.",Papeleta Peatonal,M,2015,2026,3,1,110.0,73.7,36.3,0.0,36.3
